time,temperature_2m_max,temperature_2m_min,precipitation_sum
2023-01-01,11.8,4.8,2.1
2023-01-02,12.7,4.4,0.5
2023-01-03,12.7,6.2,9.5
2023-01-04,17.9,9.4,2.3
2023-01-05,13.0,7.3,0.0
2023-01-06,8.6,3.2,9.6
2023-01-07,8.1,0.4,0.0
2023-01-08,4.1,-2.4,0.0
2023-01-09,7.1,0.6,1.5
2023-01-10,6.2,-0.0,0.0
2023-01-11,3.8,-1.3,0.0
2023-01-12,9.6,-0.7,11.9
2023-01-13,12.6,3.0,1.6
2023-01-14,2.8,-0.6,0.0
2023-01-15,5.0,-1.8,0.0
2023-01-16,8.1,-2.5,0.0
2023-01-17,7.3,-2.1,1.4
2023-01-18,10.7,2.8,1.7
2023-01-19,5.5,2.3,23.5
2023-01-20,8.9,1.7,0.6
2023-01-21,6.0,-2.0,0.2
2023-01-22,5.5,-3.5,5.4
2023-01-23,2.9,1.1,16.9
2023-01-24,7.6,-1.2,0.0
2023-01-25,10.5,-2.5,20.0
2023-01-26,11.8,2.8,14.5
2023-01-27,6.0,-1.7,0.0
2023-01-28,10.8,-0.9,0.0
2023-01-29,10.4,0.0,0.0
2023-01-30,11.6,2.3,0.0
2023-01-31,6.4,0.4,2.5
2023-02-01,3.1,-3.4,1.6
2023-02-02,4.0,-4.5,0.0
2023-02-03,0.2,-10.8,0.0
2023-02-04,-4.0,-16.6,0.0
2023-02-05,9.0,-4.8,0.0
2023-02-06,10.1,-1.1,0.0
2023-02-07,3.6,-4.2,2.6
2023-02-08,10.3,1.0,0.7
2023-02-09,11.0,-1.9,0.0
2023-02-10,14.0,5.9,0.0
2023-02-11,6.6,0.3,0.0
2023-02-12,6.7,-0.7,0.8
2023-02-13,13.2,2.4,1.8
2023-02-14,11.3,2.4,0.0
2023-02-15,16.9,2.9,0.0
2023-02-16,19.1,9.1,2.9
2023-02-17,15.3,0.2,8.1
2023-02-18,5.6,-2.8,0.0
2023-02-19,8.0,-0.5,0.0
2023-02-20,15.2,5.4,0.0
2023-02-21,8.2,1.9,7.1
2023-02-22,5.5,-0.9,4.4
2023-02-23,7.6,2.5,0.6
2023-02-24,7.3,-2.2,0.0
2023-02-25,0.1,-5.7,0.7
2023-02-26,10.1,-3.9,0.0
2023-02-27,4.8,-2.3,3.8
2023-02-28,2.0,-0.7,13.1
2023-03-01,5.7,-2.6,3.4
2023-03-02,13.6,2.1,1.5
2023-03-03,7.4,-1.7,2.8
2023-03-04,7.0,3.1,41.8
2023-03-05,12.1,-0.5,0.0
2023-03-06,10.1,1.3,0.0
2023-03-07,7.3,1.0,2.7
2023-03-08,9.3,-2.2,0.0
2023-03-09,10.3,-0.6,0.0
2023-03-10,7.3,-1.4,7.3
2023-03-11,6.9,1.6,13.1
2023-03-12,7.7,-1.2,0.0
2023-03-13,5.8,3.5,16.7
2023-03-14,3.3,1.0,12.2
2023-03-15,6.9,0.7,0.0
2023-03-16,13.3,-1.4,0.0
2023-03-17,14.2,2.4,0.0
2023-03-18,10.9,2.9,0.7
2023-03-19,3.6,-2.9,0.0
2023-03-20,10.6,-3.4,0.0
2023-03-21,15.7,-1.1,0.0
2023-03-22,13.2,2.2,0.0
2023-03-23,14.8,5.1,2.8
2023-03-24,12.9,5.5,0.2
2023-03-25,7.4,2.8,11.5
2023-03-26,14.9,3.1,0.0
2023-03-27,14.7,2.4,2.6
2023-03-28,11.1,3.0,0.6
2023-03-29,10.9,-0.2,0.0
2023-03-30,7.4,-1.6,0.1
2023-03-31,9.9,-0.9,0.0
2023-04-01,19.6,9.5,10.1
2023-04-02,10.5,3.1,0.0
2023-04-03,13.3,-0.3,0.0
2023-04-04,18.6,5.8,0.0
2023-04-05,13.5,9.2,0.4
2023-04-06,26.4,10.5,3.3
2023-04-07,13.8,6.7,0.0
2023-04-08,10.3,1.6,0.0
2023-04-09,11.6,1.1,0.0
2023-04-10,17.7,2.1,0.0
2023-04-11,22.9,6.3,0.0
2023-04-12,27.4,15.4,0.0
2023-04-13,31.0,11.8,0.0
2023-04-14,29.5,13.7,0.0
2023-04-15,20.8,14.4,5.0
2023-04-16,20.8,12.2,0.0
2023-04-17,19.9,11.5,3.1
2023-04-18,14.3,7.0,0.1
2023-04-19,17.4,4.2,0.0
2023-04-20,15.8,5.7,0.0
2023-04-21,18.9,8.0,0.0
2023-04-22,19.6,9.8,15.7
2023-04-23,19.1,11.1,18.4
2023-04-24,16.1,6.2,0.0
2023-04-25,15.1,5.4,0.3
2023-04-26,13.8,6.0,0.9
2023-04-27,13.4,7.2,0.7
2023-04-28,12.9,6.7,6.1
2023-04-29,12.1,8.6,59.5
2023-04-30,14.8,10.4,22.2
2023-05-01,15.6,7.4,1.8
2023-05-02,13.3,8.3,0.8
2023-05-03,12.4,5.6,0.7
2023-05-04,14.3,6.2,1.7
2023-05-05,17.0,6.8,3.5
2023-05-06,20.9,6.5,0.0
2023-05-07,23.7,9.2,0.0
2023-05-08,23.6,12.7,0.0
2023-05-09,19.2,9.6,0.0
2023-05-10,21.1,7.0,0.0
2023-05-11,25.3,9.4,0.0
2023-05-12,29.4,12.9,0.0
2023-05-13,27.3,17.5,0.0
2023-05-14,22.8,12.5,0.0
2023-05-15,25.2,9.6,0.0
2023-05-16,27.6,12.7,0.0
2023-05-17,18.6,10.5,0.0
2023-05-18,14.1,6.7,0.0
2023-05-19,19.4,10.4,0.0
2023-05-20,17.5,13.5,26.9
2023-05-21,21.7,12.9,0.6
2023-05-22,22.9,12.2,0.2
2023-05-23,19.3,11.0,0.0
2023-05-24,21.8,9.8,0.7
2023-05-25,19.1,10.0,0.0
2023-05-26,22.1,9.9,0.0
2023-05-27,24.2,9.8,0.0
2023-05-28,23.5,11.5,0.0
2023-05-29,24.6,13.7,0.0
2023-05-30,20.2,11.6,0.0
2023-05-31,22.5,10.6,0.0
2023-06-01,27.3,12.2,0.0
2023-06-02,30.6,15.0,0.0
2023-06-03,20.0,14.0,3.5
2023-06-04,21.3,10.3,0.1
2023-06-05,23.9,11.4,0.0
2023-06-06,25.7,14.5,0.2
2023-06-07,25.0,13.1,0.0
2023-06-08,22.3,10.6,0.0
2023-06-09,22.7,11.6,0.9
2023-06-10,26.2,12.2,0.2
2023-06-11,27.0,16.3,0.0
2023-06-12,23.9,19.1,8.5
2023-06-13,26.3,16.0,0.0
2023-06-14,24.6,14.7,9.5
2023-06-15,26.1,14.9,0.0
2023-06-16,25.7,15.0,10.8
2023-06-17,25.3,14.7,0.1
2023-06-18,26.4,15.6,0.0
2023-06-19,25.1,16.2,1.4
2023-06-20,23.4,16.3,0.0
2023-06-21,22.8,15.4,0.3
2023-06-22,20.9,15.3,0.3
2023-06-23,22.8,16.9,12.4
2023-06-24,25.6,19.1,21.2
2023-06-25,28.4,18.5,1.9
2023-06-26,25.4,19.0,4.6
2023-06-27,26.2,19.3,18.7
2023-06-28,28.5,18.8,2.1
2023-06-29,28.5,16.1,0.0
2023-06-30,29.1,17.0,0.0
2023-07-01,26.8,17.6,0.0
2023-07-02,31.1,20.2,16.1
2023-07-03,31.0,22.2,17.8
2023-07-04,29.3,21.2,5.4
2023-07-05,32.2,20.9,0.0
2023-07-06,31.2,21.4,0.0
2023-07-07,29.6,21.7,0.6
2023-07-08,29.5,22.4,4.4
2023-07-09,26.8,21.4,18.5
2023-07-10,28.6,21.2,1.3
2023-07-11,31.6,17.0,0.0
2023-07-12,32.9,19.5,0.0
2023-07-13,31.8,21.2,0.2
2023-07-14,28.1,21.2,36.6
2023-07-15,29.4,20.3,8.0
2023-07-16,25.9,21.7,41.4
2023-07-17,31.7,19.9,0.1
2023-07-18,29.5,21.3,8.3
2023-07-19,27.4,18.7,3.8
2023-07-20,28.4,19.9,0.5
2023-07-21,29.4,21.7,3.5
2023-07-22,28.3,18.4,0.0
2023-07-23,30.0,17.2,0.5
2023-07-24,28.6,18.5,1.9
2023-07-25,28.6,19.1,9.0
2023-07-26,30.0,17.0,0.4
2023-07-27,33.8,22.2,0.7
2023-07-28,34.1,21.3,0.0
2023-07-29,33.8,23.2,4.3
2023-07-30,26.2,17.6,0.0
2023-07-31,29.4,15.4,0.0
2023-08-01,26.9,16.9,0.0
2023-08-02,27.6,14.4,0.0
2023-08-03,26.2,15.5,0.9
2023-08-04,27.4,18.3,0.9
2023-08-05,30.6,18.2,0.2
2023-08-06,29.8,18.0,0.0
2023-08-07,27.6,21.9,37.9
2023-08-08,27.0,21.5,15.2
2023-08-09,29.4,19.6,0.1
2023-08-10,25.4,18.7,11.9
2023-08-11,29.1,18.0,0.1
2023-08-12,28.0,17.0,8.6
2023-08-13,30.6,21.4,2.9
2023-08-14,30.8,18.6,1.3
2023-08-15,26.9,21.1,20.3
2023-08-16,26.5,20.7,4.0
2023-08-17,25.6,20.2,5.9
2023-08-18,26.8,19.5,3.1
2023-08-19,26.3,15.3,0.0
2023-08-20,29.8,15.1,0.0
2023-08-21,31.0,18.3,0.1
2023-08-22,26.0,17.8,0.0
2023-08-23,25.4,15.9,0.0
2023-08-24,24.3,19.4,2.2
2023-08-25,27.9,20.4,11.1
2023-08-26,30.1,19.8,0.4
2023-08-27,28.2,18.3,0.5
2023-08-28,24.9,18.8,1.1
2023-08-29,27.5,17.6,1.6
2023-08-30,29.5,20.9,0.7
2023-08-31,25.0,17.0,0.0
2023-09-01,24.3,13.6,0.0
2023-09-02,26.8,12.8,0.0
2023-09-03,32.2,17.9,0.3
2023-09-04,33.7,19.7,1.2
2023-09-05,35.2,22.0,0.0
2023-09-06,35.8,22.8,0.0
2023-09-07,35.1,21.4,3.8
2023-09-08,31.6,20.3,14.3
2023-09-09,29.1,20.6,8.5
2023-09-10,24.4,19.5,16.5
2023-09-11,27.5,19.8,4.4
2023-09-12,28.8,19.0,0.2
2023-09-13,26.5,19.6,17.1
2023-09-14,24.9,16.9,0.0
2023-09-15,21.3,13.5,0.0
2023-09-16,24.3,15.1,0.0
2023-09-17,24.1,11.7,0.5
2023-09-18,21.4,16.5,13.9
2023-09-19,23.3,13.3,0.0
2023-09-20,23.4,11.6,0.0
2023-09-21,22.7,11.4,0.0
2023-09-22,22.3,12.9,0.0
2023-09-23,16.0,13.5,42.3
2023-09-24,19.7,15.9,17.3
2023-09-25,17.2,14.2,17.5
2023-09-26,16.9,13.3,8.5
2023-09-27,17.6,9.2,0.0
2023-09-28,18.6,10.6,0.1
2023-09-29,17.0,13.1,69.9
2023-09-30,21.6,12.9,1.0
2023-10-01,24.9,14.0,0.0
2023-10-02,25.3,15.7,0.0
2023-10-03,27.3,13.0,0.0
2023-10-04,27.7,14.7,0.0
2023-10-05,23.9,12.9,0.0
2023-10-06,22.3,17.4,2.6
2023-10-07,20.5,11.7,60.4
2023-10-08,16.8,9.3,0.0
2023-10-09,15.5,7.2,0.1
2023-10-10,17.9,7.7,0.0
2023-10-11,20.6,8.0,0.0
2023-10-12,20.9,7.1,0.0
2023-10-13,17.5,8.6,0.0
2023-10-14,11.8,9.3,15.1
2023-10-15,16.5,9.4,1.2
2023-10-16,17.6,6.9,0.2
2023-10-17,16.7,8.1,0.6
2023-10-18,17.1,6.7,0.3
2023-10-19,17.9,7.1,0.0
2023-10-20,17.2,12.7,27.2
2023-10-21,17.6,12.7,5.9
2023-10-22,13.8,9.0,0.0
2023-10-23,16.0,7.3,0.0
2023-10-24,17.6,4.2,0.0
2023-10-25,21.9,7.6,0.0
2023-10-26,25.8,9.2,0.0
2023-10-27,24.5,12.3,0.0
2023-10-28,26.9,16.2,0.0
2023-10-29,16.1,10.5,6.9
2023-10-30,19.0,10.2,2.0
2023-10-31,10.5,6.6,0.2
2023-11-01,9.6,3.3,3.5
2023-11-02,9.6,-0.4,0.0
2023-11-03,13.0,0.2,0.0
2023-11-04,14.9,3.5,0.0
2023-11-05,16.9,4.4,0.0
2023-11-06,12.0,3.8,0.1
2023-11-07,20.2,10.5,5.7
2023-11-08,10.7,4.4,0.0
2023-11-09,15.2,2.6,0.4
2023-11-10,10.6,5.5,0.3
2023-11-11,12.1,3.9,0.0
2023-11-12,7.0,-0.3,0.0
2023-11-13,8.8,-2.2,0.0
2023-11-14,11.1,1.7,0.0
2023-11-15,10.7,-1.2,0.0
2023-11-16,17.7,1.8,0.0
2023-11-17,19.4,4.2,0.0
2023-11-18,13.1,3.3,1.2
2023-11-19,12.3,1.0,0.0
2023-11-20,7.0,-1.0,0.0
2023-11-21,8.3,-1.4,7.9
2023-11-22,14.3,8.1,24.7
2023-11-23,11.1,5.0,0.0
2023-11-24,9.7,-0.0,0.0
2023-11-25,4.1,-3.2,0.0
2023-11-26,10.4,-2.7,5.5
2023-11-27,12.7,2.7,4.4
2023-11-28,3.8,-1.9,0.1
2023-11-29,2.5,-4.5,0.0
2023-11-30,9.5,-2.7,0.0
2023-12-01,7.7,-0.3,5.3
2023-12-02,16.1,4.3,0.1
2023-12-03,10.0,5.6,16.2
2023-12-04,10.8,4.7,0.0
2023-12-05,6.5,1.4,0.0
2023-12-06,4.9,-2.3,0.1
2023-12-07,3.4,-3.4,0.0
2023-12-08,9.0,-2.1,0.0
2023-12-09,13.4,1.0,0.0
2023-12-10,16.9,4.9,28.1
2023-12-11,14.0,2.6,26.9
2023-12-12,6.1,-2.4,0.0
2023-12-13,7.4,-0.1,0.0
2023-12-14,4.5,-3.3,0.0
2023-12-15,12.4,-0.7,0.0
2023-12-16,11.4,2.8,0.0
2023-12-17,13.0,5.1,16.8
2023-12-18,15.5,5.7,78.9
2023-12-19,6.0,-1.0,0.0
2023-12-20,7.5,-3.8,0.0
2023-12-21,4.3,-2.8,0.0
2023-12-22,2.6,-5.7,0.0
2023-12-23,5.9,-3.5,0.5
2023-12-24,8.6,1.0,0.0
2023-12-25,11.5,1.2,0.0
2023-12-26,7.6,2.9,0.0
2023-12-27,8.9,5.2,5.2
2023-12-28,11.6,8.4,40.1
2023-12-29,13.3,7.1,0.4
2023-12-30,7.9,1.2,0.1
2023-12-31,6.4,-2.1,0.0
